ID,SeparationType,Cease Date,DETE Start Date,Role Start Date,Position,Classification,Region,Business Unit,Employment Status,Career move to public sector,Career move to private sector,Interpersonal conflicts,Job dissatisfaction,Dissatisfaction with the department,Physical work environment,Lack of recognition,Lack of job security,Work location,Employment conditions,Maternity/family,Relocation,Study/Travel,Ill Health,Traumatic incident,Work life balance,Workload,None of the above,Professional Development,Opportunities for promotion,Staff morale,Workplace issue,Physical environment,Worklife balance,Stress and pressure support,Performance of supervisor,Peer support,Initiative,Skills,Coach,Career Aspirations,Feedback,Further PD,Communication,My say,Information,Kept informed,Wellness programs,Health & Safety,Gender,Age,Aboriginal,Torres Strait,South Sea,Disability,NESB,dissatisfied
92,Age Retirement,2012,1975,1978,Teacher,Primary,North Coast,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,0,1,1,A,A,A,D,A,A,A,D,D,A,A,A,D,A,A,D,A,Male,56-60,,,,,,1
93,Age Retirement,2012,1972,2008,Head of Curriculum/Head of Special Education,,Darling Downs South West,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,SA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Female,56-60,,,,,,1
94,Resignation-Move overseas/interstate,2012,2002,2002,Teacher,Secondary,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,1,0,0,A,SD,SD,SD,A,N,N,D,A,A,A,A,N,N,N,N,N,Female,41-45,,,,,,1
95,Voluntary Early Retirement (VER),2012,1973,1976,Teacher,Primary,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,0,1,N,SD,SD,D,N,N,N,N,D,N,N,D,D,N,N,D,D,Female,51-55,,,,,Yes,1
96,Age Retirement,2012,1979,2008,Teacher,Primary,Central Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,D,A,N,D,A,A,A,D,D,D,N,A,D,N,A,D,A,Male,51-55,,,,,,1
97,Age Retirement,2012,1971,2008,Teacher,Primary,North Coast,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,0,1,1,A,A,N,A,SA,N,A,A,N,,A,A,A,A,N,N,A,Male,56-60,,,,,,1
98,Age Retirement,2012,1978,1996,,,North Coast,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,A,SA,SA,SA,A,A,A,SA,A,A,SA,SA,SA,A,A,Male,56-60,,,,,,1
99,Age Retirement,2012,2002,2004,Schools Officer,,North Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,D,0,1,1,A,A,N,A,D,SA,SA,D,N,A,N,SD,SD,SD,SD,A,D,Male,61 or older,,,,,,1
100,Resignation-Move overseas/interstate,2012,2011,2011,Teacher,Secondary,Darling Downs South West,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,True,False,False,False,False,0,0,False,D,0,1,0,D,N,N,N,N,SA,A,N,N,N,N,N,A,A,A,D,N,Male,31-35,,,,,,1
101,Resignation-Other reasons,2012,2006,2008,Teacher Aide,,Not Stated,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,1,1,A,D,D,D,N,N,A,A,D,SD,N,SD,N,N,D,D,D,Female,36-40,,,,,,1
102,Age Retirement,2012,1978,2001,Teacher,Primary,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,0,0,0,A,A,A,A,N,SA,SA,A,SA,N,SA,A,A,A,A,A,A,Female,51-55,,,,,,0
103,Resignation-Other reasons,2012,2002,2007,Teacher,Primary,Darling Downs South West,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,D,0,0,0,N,SD,SD,SD,A,SD,SD,N,SD,SD,SD,SD,SD,SD,SD,SD,SD,Female,51-55,,,,,,0
104,Resignation-Other reasons,2012,2004,2008,,,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,D,0,0,0,A,A,M,SD,A,SD,SD,SD,D,SD,SD,SD,SD,SD,SD,SD,SD,Female,51-55,,,,,,0
105,Age Retirement,2012,1979,1979,Cleaner,,Not Stated,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,SA,A,SA,A,A,A,,,,,A,A,A,A,,A,Female,61 or older,,,,,,1
106,Age Retirement,2012,2000,2000,Teacher Aide,,North Coast,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,,0,1,1,N,A,D,N,A,A,A,SD,,A,,D,D,D,D,,,Female,56-60,,,,,,1
107,Resignation-Other reasons,2012,Not Stated,Not Stated,Teacher Aide,,Central Office,Training and Tertiary Education Queensland,Temporary Part-time,False,False,False,0,0,0,0,True,False,0,False,False,False,False,False,0,0,False,SA,0,1,1,A,SD,A,A,A,A,D,A,D,D,D,A,A,N,N,A,A,Female,46-50,,,Yes,,,1
108,Ill Health Retirement,2012,1998,2002,Teacher,Special Education,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,N,1,1,1,N,SD,D,D,D,A,D,N,D,N,N,D,N,N,N,N,A,Female,56-60,,,,,,1
109,Resignation-Other reasons,2012,2008,2009,Technical Officer,,Central Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,A,SA,D,A,A,SA,A,D,A,N,N,A,N,A,A,A,Female,31-35,,,,,,1
110,Age Retirement,2012,1990,Not Stated,Public Servant,A01-A04,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Female,61 or older,,,,,,1
111,Ill Health Retirement,2012,1991,1996,Teacher,Primary,Not Stated,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,1,1,1,A,N,D,N,N,N,A,A,D,A,D,N,A,A,A,D,N,Female,61 or older,,,,,,1
112,Resignation-Other reasons,2012,2004,2004,Teacher,Special Education,Far North Queensland,,Permanent Full-time,True,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,1,1,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Female,26-30,,,,,,1
113,Resignation-Other reasons,2012,2007,2007,Cleaner,,North Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,0,0,0,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,,,Female,56-60,,,,,,0
114,Age Retirement,2012,2009,2009,Schools Officer,,Not Stated,,Temporary Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,M,0,0,0,M,M,M,M,M,M,SA,M,M,A,M,SA,SA,N,SA,M,M,Male,56-60,Yes,,,,,0
115,Resignation-Move overseas/interstate,2012,1997,2004,Guidance Officer,,Darling Downs South West,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,0,1,0,M,A,N,N,A,A,A,D,SA,SA,SA,SA,SA,SA,A,A,A,Female,41-45,,,,,,1
116,Age Retirement,2012,1974,Not Stated,Teacher,Secondary,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,A,A,A,A,A,A,A,SA,SA,SA,A,A,A,A,A,A,Female,56-60,,,,,,1
117,Resignation-Other reasons,2012,1976,1976,,,South East,,Permanent Full-time,False,False,True,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,D,0,0,0,A,A,SD,SD,D,D,SD,SD,SD,SD,SD,D,D,D,D,N,A,Male,56-60,,,,,,0
118,Ill Health Retirement,2012,1986,1986,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,D,0,0,0,SD,A,SD,SD,SD,SD,SD,SD,,N,N,SD,SD,SD,SD,SD,SD,Female,56-60,,,,,,0
119,Resignation-Other employer,2012,2010,2010,Teacher,Secondary,Not Stated,,Permanent Full-time,True,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,1,1,1,D,D,N,A,SA,SA,SA,SA,N,A,SA,A,A,SA,A,N,N,Female,46-50,,,,,,1
120,Contract Expired,2012,2008,2011,Public Servant,AO5-AO7,Central Office,Information and Technologies,Temporary Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,N,0,1,1,A,A,A,A,A,A,N,A,A,A,A,A,A,A,A,D,N,Male,31-35,,,,,,1
121,Termination,2012,2009,2009,Public Servant,AO5-AO7,Central Office,Education Queensland,Temporary Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,0,0,0,A,N,N,SD,SD,D,SD,N,SD,SD,SD,D,SD,SD,SD,SD,D,Female,26-30,,,,,,0
122,Contract Expired,2012,Not Stated,Not Stated,Public Servant,A01-A04,South East,,Temporary Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SD,0,0,0,D,D,D,SD,D,D,SA,SD,N,D,D,SD,SD,SD,SD,SD,SD,Male,31-35,,,,,,0
123,Age Retirement,2012,1979,1979,Teacher,Secondary,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,N,1,1,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Male,61 or older,,,,,,1
124,Ill Health Retirement,2012,Not Stated,Not Stated,Schools Officer,,Not Stated,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,0,0,1,SD,A,A,N,N,N,N,N,D,N,N,M,M,M,M,M,M,,,,,,,,1
125,Resignation-Other employer,2012,2012,2012,Public Servant,A01-A04,Darling Downs South West,,Permanent Part-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,1,1,0,D,SA,SA,SA,SA,SA,SA,N,N,N,D,A,A,A,SA,N,SA,Female,36-40,,,,,,1
126,Age Retirement,2012,1991,1991,Cleaner,,Far North Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,0,1,0,SA,SA,A,SA,A,N,A,A,M,M,SA,A,SA,SA,SA,M,A,Male,61 or older,,,,,Yes,1
127,Resignation-Other reasons,2012,1980,1989,Teacher,Secondary,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,1,1,A,A,A,D,N,D,D,N,D,D,D,A,D,A,A,D,A,Male,51-55,,,,,,1
128,Age Retirement,2013,1989,1989,Teacher,Primary,Not Stated,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,0,0,0,A,D,A,SA,SA,A,SA,SA,SA,SA,SA,SA,SA,SA,SA,A,SA,Female,51-55,,,,,,0
129,Age Retirement,2012,1977,2001,Teacher,,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,1,1,1,A,A,N,A,A,A,N,N,A,N,A,N,A,A,A,N,A,Male,56-60,,,,,,1
130,Voluntary Early Retirement (VER),2012,1975,1996,Head of Curriculum/Head of Special Education,,North Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,True,0,0,False,A,0,1,1,A,SD,N,A,A,A,A,SA,A,A,,A,SA,A,A,N,SA,Female,56-60,,,,,,1
131,Resignation-Other employer,2012,2012,2012,Public Servant,AO5-AO7,Central Office,Information and Technologies,Temporary Full-time,True,False,False,0,0,0,0,True,False,0,False,False,False,False,False,0,0,False,D,0,1,0,A,A,A,D,N,D,SD,D,D,D,SD,D,N,N,D,,,Male,51-55,,,,,,1
132,Age Retirement,2012,1990,1992,Teacher Aide,,North Coast,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,1,1,1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,N,A,Female,61 or older,,,,,,1
133,Resignation-Other reasons,2012,2007,2010,Cleaner,,North Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,,0,1,1,N,A,D,N,D,A,A,A,,,,N,N,A,A,,D,Female,41-45,,,,,,1
134,Age Retirement,2012,Not Stated,Not Stated,Teacher Aide,,Central Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,D,1,1,1,N,A,D,D,A,A,A,A,N,A,A,N,A,A,N,D,N,Female,61 or older,,,,,,1
135,Voluntary Early Retirement (VER),2012,1983,1988,Business Service Manager,,Far North Queensland,,Permanent Full-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,0,1,A,SD,N,A,A,SA,SA,SA,A,SA,A,A,A,A,SA,A,SA,Male,46-50,,,,,,1
136,Resignation-Other reasons,2012,1994,1994,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,A,A,A,SA,A,A,A,A,A,A,N,A,N,A,N,A,Female,56-60,,,,,,1
137,Ill Health Retirement,2012,Not Stated,Not Stated,Head of Curriculum/Head of Special Education,,Central Office,Education Queensland,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,1,0,1,N,D,N,N,SA,N,SA,SA,D,A,A,N,N,N,N,N,N,Female,56-60,,,,,,1
138,Age Retirement,2012,2001,2001,Teacher,,Far North Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,N,A,A,A,A,A,A,N,D,A,A,A,A,A,N,A,Female,56-60,,,,,,1
139,Resignation-Other employer,2012,2004,2005,Teacher Aide,,Darling Downs South West,,Permanent Part-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,1,1,1,SA,SA,A,A,SA,A,A,SD,N,A,N,N,A,A,A,N,N,Female,41-45,,,,,,1
140,Ill Health Retirement,2012,1974,1995,Teacher,Secondary,Darling Downs South West,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,0,1,1,D,N,N,N,N,N,A,A,N,N,N,N,N,N,N,N,N,Male,56-60,,,,,,1
141,Resignation-Other employer,2012,Not Stated,Not Stated,Teacher Aide,,Metropolitan,,Permanent Part-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,SA,SA,A,SA,A,N,A,N,N,N,A,A,A,A,M,M,Female,51-55,,,,,,1
142,Age Retirement,2012,1973,Not Stated,Teacher,Primary,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,0,1,1,D,D,D,A,SA,A,A,A,N,D,N,A,A,A,A,N,A,Male,56-60,,,,,,1
143,Ill Health Retirement,2012,1983,2008,Head of Curriculum/Head of Special Education,,Darling Downs South West,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,SA,0,0,0,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Female,61 or older,,,,,,0
144,Ill Health Retirement,2012,Not Stated,Not Stated,Teacher Aide,,North Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,0,1,1,A,A,A,A,A,A,A,SA,A,A,A,A,A,A,A,A,A,Female,61 or older,,,,,,1
145,Age Retirement,2012,1971,1982,Teacher,Primary,Not Stated,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,1,1,1,N,SD,N,N,A,SA,SA,SA,SA,SA,A,A,A,A,A,N,SA,Female,56-60,,,,,,1
146,Resignation-Other reasons,2012,2007,2007,Cleaner,,Not Stated,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,0,1,1,A,A,A,A,A,A,A,A,,A,,A,A,A,A,,,Male,61 or older,,,,,,1
147,Age Retirement,2012,Not Stated,Not Stated,Teacher,Primary,Darling Downs South West,,Temporary Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,N,0,1,0,SA,SA,SA,SA,SA,SA,SA,,N,A,A,SA,SA,SA,SA,A,SA,Female,61 or older,,,,,,1
148,Resignation-Other employer,2012,2003,2003,Public Servant,A01-A04,Metropolitan,,Permanent Full-time,False,True,False,0,0,0,0,True,False,0,False,False,False,False,False,0,0,False,N,0,1,1,A,SA,A,SA,A,A,A,A,A,A,A,SA,SA,SA,SA,A,SA,Male,26-30,,,,,,1
149,Age Retirement,2012,1997,1997,Cleaner,,Not Stated,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,0,0,0,SA,SA,SA,A,A,SA,A,A,A,A,A,A,SA,SA,A,M,SA,Female,61 or older,,,,,,0
150,Other,2012,2008,2008,Public Servant,A01-A04,Central Office,Training and Tertiary Education Queensland,Permanent Full-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,N,N,N,A,N,N,D,N,A,A,A,A,A,A,A,N,N,Female,26-30,,,,,,1
151,Termination,2012,1996,2009,Public Servant,A01-A04,Central Office,Training and Tertiary Education Queensland,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,N,1,1,0,N,A,A,A,A,A,A,A,N,A,N,A,N,A,A,N,N,Female,61 or older,,,,,,1
152,Age Retirement,2012,Not Stated,Not Stated,Guidance Officer,,Metropolitan,,Temporary Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,0,1,1,N,N,N,A,N,A,D,D,N,A,D,A,A,N,A,A,A,Male,61 or older,,,,,,1
153,Other,2012,1993,2012,Public Servant,AO5-AO7,Central Office,Training and Tertiary Education Queensland,Permanent Full-time,False,False,False,0,0,0,0,True,True,0,False,False,False,False,False,0,0,False,SA,1,1,1,SA,A,A,SD,A,SA,N,A,D,N,N,SD,N,D,D,N,SD,Female,36-40,,,,,Yes,1
154,Termination,2012,2002,2008,Public Servant,AO5-AO7,Central Office,Education Queensland,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,SA,SA,A,A,A,A,A,A,A,A,A,A,A,A,D,A,Female,36-40,,,,,Yes,1
155,Voluntary Early Retirement (VER),2012,1971,2005,Public Servant,AO5-AO7,Central Office,Training and Tertiary Education Queensland,Permanent Full-time,False,False,False,0,0,0,0,True,False,0,False,False,False,False,False,0,0,False,A,1,0,1,A,N,N,N,N,N,N,N,SD,N,N,A,A,A,A,N,N,Male,61 or older,,,,,,1
156,Voluntary Early Retirement (VER),2012,2006,2010,Public Servant,A01-A04,Central Office,Education Queensland,Permanent Full-time,False,False,False,0,0,0,0,True,False,0,False,False,False,False,False,0,0,False,A,1,1,1,A,A,A,A,A,A,N,A,N,A,N,A,A,A,A,A,A,Female,21-25,,,,,,1
157,Other,2012,2007,2010,Technical Officer,,Central Office,Information and Technologies,Temporary Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,SA,A,A,N,SA,SA,SA,SA,SA,SA,N,SA,SA,A,SA,SA,Male,26-30,,,,,,1
158,Other,2012,2009,2011,Public Servant,AO5-AO7,Central Office,Information and Technologies,Temporary Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,N,0,0,1,A,SA,SA,A,SA,SA,SA,A,A,A,SA,A,SA,N,N,A,A,Male,21-25,,,,,,1
159,Resignation-Other employer,2012,2011,2011,Public Servant,A01-A04,Central Office,Other,Temporary Part-time,True,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,1,1,SA,SA,SA,SA,SA,A,N,N,A,SA,A,A,A,A,A,N,N,Male,21-25,,,,,,1
160,Age Retirement,2012,1970,1970,Teacher,Primary,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,A,A,SA,A,A,A,A,A,A,A,A,A,A,N,A,Female,61 or older,,,,,,1
161,Resignation-Other reasons,2012,2003,2003,Cleaner,,South East,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,0,0,N,N,N,SD,SD,N,N,SD,SD,SD,SD,SD,SD,N,N,SD,N,Female,41-45,,,,,,0
162,Voluntary Early Retirement (VER),2012,1980,2004,Public Servant,AO5-AO7,Central Office,Education Queensland,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,D,0,1,1,A,A,A,A,A,A,A,A,N,A,N,A,A,A,A,N,A,Female,56-60,,,,,,1
163,Other,2012,2007,2008,Public Servant,A01-A04,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SD,0,1,1,SD,SA,A,D,A,D,D,D,SD,SD,SD,SD,SD,D,SD,SA,SA,Female,36-40,,,,,,1
164,Voluntary Early Retirement (VER),2012,1969,2002,Professional Officer,PO1-PO4,Central Office,Education Queensland,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,A,A,A,N,A,N,N,A,A,A,A,A,A,N,A,Male,61 or older,,,,,,1
165,Resignation-Other employer,2012,2005,2009,Teacher Aide,,Central Queensland,,Permanent Full-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,1,1,0,A,N,N,A,A,SA,SA,SA,SA,N,A,SA,SA,SA,A,A,A,Female,41-45,,,,,,1
166,Voluntary Early Retirement (VER),2012,2005,2008,Public Servant,AO5-AO7,Central Office,Human Resources,Permanent Full-time,False,False,False,0,0,0,0,True,False,0,False,False,False,False,False,0,0,False,N,0,0,1,SA,SA,SA,SA,SA,SA,A,A,A,A,N,SA,SA,SA,SA,A,SA,Male,26-30,Yes,,,,,1
167,Other,2012,1997,2005,Public Servant,AO5-AO7,Central Office,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,D,0,0,1,N,A,A,D,N,A,D,D,D,D,SD,N,N,A,SD,A,A,Female,46-50,,,,,,1
168,Other,2012,2004,2010,Public Servant,AO5-AO7,Central Office,Training and Tertiary Education Queensland,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,A,A,A,A,N,A,SA,SA,SA,A,A,A,A,N,A,Female,36-40,,,,,,1
169,Other,2012,2008,2008,Public Servant,AO5-AO7,Central Office,Human Resources,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,1,0,N,A,A,N,A,A,A,N,N,A,N,N,N,A,D,A,N,Female,61 or older,,,,,,1
170,Ill Health Retirement,2012,Not Stated,Not Stated,Teacher,Secondary,Not Stated,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,D,0,0,0,SA,A,N,N,SA,SA,SA,SA,D,SA,D,A,A,A,A,D,N,Male,56-60,,,,,,0
171,Other,2012,2009,2009,Public Servant,AO8 and Above,Central Office,,Permanent Full-time,False,False,True,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SD,1,0,1,A,SD,D,D,N,A,D,A,D,D,SD,D,D,D,SD,SD,N,Female,46-50,,,,,,1
172,Voluntary Early Retirement (VER),2012,1987,1992,Professional Officer,PO1-PO4,Central Office,Education Queensland,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,D,1,1,1,N,A,N,N,A,SD,SD,D,N,N,D,N,N,A,A,D,D,Male,46-50,,,,,,1
173,Other,2012,1975,2008,Public Servant,A01-A04,Central Office,Education Queensland,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,0,1,1,A,A,N,A,N,N,A,A,N,A,N,A,N,A,A,N,N,Female,,,,,,,1
174,Other,2012,2002,2007,Public Servant,AO8 and Above,Central Office,Other,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,A,A,A,N,A,SA,SA,SA,SA,A,SA,A,A,N,N,Male,56-60,,,,,,1
175,Voluntary Early Retirement (VER),2012,2007,2007,Public Servant,A01-A04,Central Office,Other,Permanent Full-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,0,1,1,A,A,A,A,A,A,A,A,A,N,N,A,N,N,N,N,N,Female,31-35,,,,,Yes,1
176,Voluntary Early Retirement (VER),2012,2005,2007,Public Servant,A01-A04,Central Office,Education Queensland,Permanent Part-time,False,False,False,0,0,0,0,True,True,0,True,False,False,False,False,0,0,False,A,1,1,1,A,A,A,A,A,A,A,N,N,A,N,A,A,A,A,A,,Female,26-30,,,,,,1
177,Voluntary Early Retirement (VER),2012,2004,2009,Public Servant,A01-A04,Central Office,,Permanent Full-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,0,1,1,A,SA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,26-30,,,,Yes,,1
178,Voluntary Early Retirement (VER),2012,1997,2012,Public Servant,AO5-AO7,Central Office,,Permanent Full-time,False,False,False,0,0,0,0,False,True,0,False,False,False,False,False,0,0,False,A,0,1,1,A,SA,A,SA,SA,A,A,A,A,A,A,A,A,A,A,A,A,Female,26-30,,,,,,1
179,Voluntary Early Retirement (VER),2012,1996,2011,Public Servant,A01-A04,Central Office,Corporate Procurement,Permanent Full-time,False,False,False,0,0,0,0,True,False,0,False,False,False,False,False,0,0,False,A,0,1,0,A,A,A,SA,SA,A,N,A,A,A,A,A,A,A,A,A,A,Male,41-45,Yes,,,,,1
